trade_date,close
2020-07-08,4774.0042
2020-07-09,4840.7712
2020-07-10,4753.1333
2020-07-13,4852.9612
2020-07-14,4806.6902
2020-07-15,4744.4687
2020-07-16,4516.2532
2020-07-17,4544.7007
2020-07-20,4680.3046
2020-07-21,4691.0425
2020-07-22,4714.4454
2020-07-23,4712.4357
2020-07-24,4505.5906
2020-07-27,4528.45
2020-07-28,4568.2576
2020-07-29,4679.008
2020-07-30,4656.1506
2020-07-31,4695.0462
2020-08-03,4771.3108
2020-08-04,4775.8024
2020-08-05,4777.1089
2020-08-06,4762.7642
2020-08-07,4707.9262
2020-08-10,4724.8697
2020-08-11,4681.7837
2020-08-12,4647.6446
2020-08-13,4635.7126
2020-08-14,4704.6288
2020-08-17,4815.2261
2020-08-18,4812.7564
2020-08-19,4740.6784
2020-08-20,4679.1544
2020-08-21,4718.8431
2020-08-24,4755.8491
2020-08-25,4761.9507
2020-08-26,4706.1302
2020-08-27,4731.3451
2020-08-28,4844.2652
2020-08-31,4816.2153
2020-09-01,4842.1223
2020-09-02,4843.887
2020-09-03,4817.0952
2020-09-04,4770.219
2020-09-07,4669.3677
2020-09-08,4694.3894
2020-09-09,4584.5887
2020-09-10,4581.9775
2020-09-11,4627.2826
2020-09-14,4651.0507
2020-09-15,4688.4826
2020-09-16,4657.3584
2020-09-17,4632.7142
2020-09-18,4737.0887
2020-09-21,4691.4281
2020-09-22,4635.7608
2020-09-23,4652.3273
2020-09-24,4563.0657
2020-09-25,4570.0216
2020-09-28,4581.9085
2020-09-29,4591.7993
2020-09-30,4587.3953
2020-10-09,4681.1412
2020-10-12,4823.1578
2020-10-13,4839.201
2020-10-14,4807.1021
2020-10-15,4798.7361
2020-10-16,4791.676
2020-10-19,4755.4879
2020-10-20,4793.4672
2020-10-21,4792.8284
2020-10-22,4777.9845
2020-10-23,4718.4881
2020-10-26,4691.2359
2020-10-27,4699.2792
2020-10-28,4737.2718
2020-10-29,4772.9198
2020-10-30,4695.3338
2020-11-02,4720.8313
2020-11-03,4777.5608
2020-11-04,4813.6564
2020-11-05,4885.1118
2020-11-06,4885.7178
2020-11-09,4981.3497
2020-11-10,4953.8756
2020-11-11,4904.8981
2020-11-12,4908.463
2020-11-13,4856.8513
2020-11-16,4904.1716
2020-11-17,4894.786
2020-11-18,4891.6716
2020-11-19,4927.9891
2020-11-20,4943.2882
2020-11-23,5005.0273
2020-11-24,4974.2855
2020-11-25,4910.7
2020-11-26,4919.5912
2020-11-27,4980.765
2020-11-30,4960.2519
2020-12-01,5067.0983
2020-12-02,5067.1447
2020-12-03,5057.0603
2020-12-04,5065.9163
2020-12-07,5022.2351
2020-12-08,5009.8786
2020-12-09,4942.6986
2020-12-10,4940.5249
2020-12-11,4889.6292
2020-12-14,4934.8352
2020-12-15,4945.1
2020-12-16,4953.867
2020-12-17,5017.4784
2020-12-18,4999.9678
2020-12-21,5046.8396
2020-12-22,4964.7727
2020-12-23,5007.1235
2020-12-24,5000.0154
2020-12-25,5042.0137
2020-12-28,5064.4147
2020-12-29,5042.9361
2020-12-30,5113.7105
2020-12-31,5211.2885
2021-01-04,5267.7181
2021-01-05,5368.5049
2021-01-06,5417.6677
2021-01-07,5513.6568
2021-01-08,5495.4306
2021-01-11,5441.1583
2021-01-12,5596.3525
2021-01-13,5577.9711
2021-01-14,5470.4563
2021-01-15,5458.0812
2021-01-18,5518.5205
2021-01-19,5437.5234
2021-01-20,5476.4336
2021-01-21,5564.9693
2021-01-22,5569.776
2021-01-25,5625.9232
2021-01-26,5512.9678
2021-01-27,5528.0034
2021-01-28,5377.1427
2021-01-29,5351.9646
2021-02-01,5417.6484
2021-02-02,5501.0915
2021-02-03,5485.2008
2021-02-04,5473.9475
2021-02-05,5483.414
2021-02-08,5564.5618
2021-02-09,5686.2502
2021-02-10,5807.7191
2021-02-18,5768.3814
2021-02-19,5778.842
2021-02-22,5597.3327
2021-02-23,5579.6681
2021-02-24,5437.5683
2021-02-25,5469.5584
2021-02-26,5336.7609
2021-03-01,5418.7837
2021-03-02,5349.6301
2021-03-03,5452.2125
2021-03-04,5280.7058
2021-03-05,5262.7958
2021-03-08,5080.0246
2021-03-09,4970.9994
2021-03-10,5003.6121
2021-03-11,5128.2156
2021-03-12,5146.3786
2021-03-15,5035.5441
2021-03-16,5079.3624
2021-03-17,5100.8581
2021-03-18,5141.7681
2021-03-19,5007.0907
2021-03-22,5057.152
2021-03-23,5009.2459
2021-03-24,4928.6853
2021-03-25,4926.3469
2021-03-26,5037.9899
2021-03-29,5046.8773
2021-03-30,5094.7291
2021-03-31,5048.3607
